#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;NA;NA;NA;NA;NA;NA	3196	192	422	940	1590	259	630	270	512	1224	305	536	164	431	638	1559	1162	845	985	998	352	618	202	1593	432	239	142	546	587	295	55	1278	1127	163	984	673	1154	454	36	1227	558	1702	237	243	143	47	82	449	232	3977	1184	113	18	706	723	418	1404	1303	391	509	1305	1540	942	1182	1418	274	40	112	73	241	559	492	761	31	212	138	571	359	237	834	3341	283	503	502	204	30	13	1045	124	551	608
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus	0	5	1	0	6	26	0	0	2	0	0	3	22	4	0	1	0	0	12	0	0	1	0	1	0	79	246	0	0	2	0	2	22	0	4	170	0	24	29	1	9	1393	13	0	2	6918	0	3830	0	276	0	1	0	1	151	2	0	71	1	0	190	0	3	1	79	19	0	0	7	0	8	0	25	2	1	170	238	2	24	67	92	3	100	0	110	0	0	0	0	41	82
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radingae	0	0	0	0	52	0	2	1	26	4	4	0	221	38	0	1	0	11	6	1	0	0	46	8	0	20	1	0	0	0	0	0	0	0	6	0	0	1	2	0	8	0	108	29	7	0	0	373	0	70	3	0	0	0	4	0	3	53376	0	6	3	0	2	3	210	2	10	0	0	0	0	0	7	135	0	0	1	0	0	5	179	0	0	0	16	7	1	0	0	9	52
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urinae	0	0	12	2	69	0	0	0	0	0	0	0	0	2	0	2	2	2	74	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	6	1	0	107	0	0	0	0	0	0	3	1	0	5	0	0	0	0	0	0	1	0	0	51	0	48	0	0	0	0	1	14	0	0	0	1	1	0	0	0	1	0	17	20	0	2	8981	0	0	0	113	0	0	0	0	32	7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis	1	0	2	4	0	1530	1942	0	3816	2	0	0	0	2	0	0	5	1	0	0	0	0	0	15262	0	0	1	0	3473	0	0	5	0	3	2	0	0	16	1	1	0	9	0	0	2	0	0	16	0	1	1	0	0	2	2	0	0	214	0	0	0	2	1	0	3	3	0	0	7	0	3	5	5	0	0	1	4	1	1	0	2	3	0	0	99	3	3	5	3	32	22
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;NA;NA	0	238	87	0	22	96	208	0	178	0	31	26	168	29	174	0	0	66	74	1	0	0	0	0	0	33	1	109	318	14	814	0	0	177	1	1	0	0	80	0	102	0	160	301	591	2	169	14	84	0	0	124	196	30	148	98	1	0	0	0	93	0	167	1	1	303	157	192	801	72	113	523	122	367	54	167	123	65	133	86	25	1130	114	169	112	355	71	305	76	59	59
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	3	10951	1161	114	492	6275	6985	12	6380	2	1119	274	10945	1357	10718	1	42	5878	6412	13	9	3	40	18	1	1818	38	10644	15551	1702	20360	20	2	1125	19	13	3	144	4558	4	7488	16	11240	19210	15577	38	4939	909	7735	8	4	8305	13460	388	8109	3442	149	70	9	7	9046	3	6515	148	77	7974	5329	11858	20072	5453	5355	11246	6308	22273	3193	9557	6444	3972	9017	4829	242	26045	5888	11715	7107	22676	2760	13876	3530	4753	3589
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	4	5756	638	29	1375	103	11709	1	9351	5	992	177	1510	1204	98716	7	148	63	623	5	4	2	8	1	8	312	96	2368	16978	153	48863	5	24	252	9	7	37	122	320	0	1089	29	1608	2418	41382	71	339101	221	1577	71	5	1240	2461	230	4962	234335	6	17	1	9	106	2	490	29	77	33546	75456	1481	51221	960	690	35784	407	2601	628	5613	818	1063	1038	337	2	68590	1489	5054	47	2585	697	11589	266	4553	2084
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum	1	1484	8	2	307	31	2282	0	1751	0	160	3	429	205	1878	1	5	744	80	1	2	0	2	3	0	180	16	27	3021	19	11537	2	1	4	1	1	3	10	84	0	107	2	378	429	10153	13	3896	81	543	2	0	235	122	3	1115	2644	0	2	2	2	26	2	27	11	1	3403	1371	270	12488	131	191	7755	34	451	312	1264	42	24	241	23	0	16698	154	1666	43	473	2431	4465	92	428	423
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	0	1	72	0	0	2	17	1	5	1	2	0	4	11	9	6	10	0	0	1	18	0	0	0	0	2	0	0	89	0	70	0	0	2	7	1	0	572	0	0	3	0	5	11	33	4	28	8	0	1	0	0	0	1	1	14	0	0	0	0	0	3	1	4	0	107	6	6	57	9	3	28	0	17	9	2	141	120	2	3	44144	48	0	6	0	7	0	12	0	105	59
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium asteroides	0	1	0	2	0	0	5	0	3	0	2	0	532	25	4	0	2	0	483	0	0	0	3	0	0	0	0	0	9	124	29	2	0	63	1	0	1	2	10	0	331	0	520	957	24	0	0	34	0	0	0	0	0	1	12	2	17	2	0	0	704	0	0	0	1	12	0	556	29	0	1	15	0	1050	0	127	3	314	771	0	0	54	96	787	499	1113	0	142	0	100	74
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	3	593	322	973	167	278	774	305	791	41	120	91	42853	1567	2942	49	546	454	1700	24	92	117	372	174	70	193822	228	967	3477	489	4386	98	30	84	196	515	30	1497	448620	20	998	181	23473	3632	2850	264	911	10403	192329	57	3	1862	388	30	1022	1118	37	337	30	31	675	132	202329	238	1285	3272	820	2089	3863	1414	257	1134	318742	3698	392409	276466	306917	504	840	322915	214	4795	227085	1157	236999	3521	411303	2302	515883	37916	38357
