#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;NA;NA;NA;NA;NA;NA	0.0057399566123194	0.000345224395857307	0.000758439650465025	0.0016884432553186	0.0028546373240907	0.000464779914570677	0.00113187355943365	0.000484208267136392	0.000920373367663356	0.00219905428075922	0.000546949631932868	0.000963298333493883	0.000295057859741801	0.000773960949261471	0.00114549086118505	0.0028001381953601	0.00208769571171374	0.00151665975107975	0.00176832735275954	0.00179248675561751	0.000631798022843834	0.00110899232354119	0.000363194592060679	0.00286023198639209	0.000775152389261825	0.000428438886886224	0.000254344559983911	0.000980659938067047	0.00105392179621702	0.000530326252370192	9.91614391342775e-05	0.00229471757322176	0.00202428177233556	0.000293591346859595	0.00176782864298974	0.00120785295429597	0.00207176218607471	0.000814753851516783	6.54379725006544e-05	0.0022040147170083	0.001001455556862	0.00305718010435788	0.000425668690764727	0.000436842382749245	0.000256675098804451	8.44084940087929e-05	0.000146410378784566	0.000805480364479865	0.000416134384148369	0.00714276518525194	0.00212619617682967	0.000203099295245446	3.17413293268722e-05	0.0012684747009768	0.00129819884356024	0.000749876633199054	0.00252115630693413	0.00234008135316382	0.000702537187349533	0.000913524695365938	0.00234389254586029	0.00276554900404534	0.00169230223986391	0.0021228409406728	0.00254603199601034	0.000491214107171726	7.13499408814776e-05	0.000201406748675363	0.000130370660082948	0.000433227235767758	0.00100401205612886	0.000883842985749171	0.00136650108966682	5.58518808120863e-05	0.000381091633094308	0.000247980040841235	0.00102507388096101	0.000644547047721758	0.000425348643511564	0.00149818865755062	0.00600056609114067	0.00050748798522195	0.000902910558742299	0.000901139959858311	0.000365499340242716	5.36404427482144e-05	2.38061229348188e-05	0.00187674178590867	0.000222315918586377	0.000989354221517228	0.00109196473752896
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces odontolyticus	0	8.8519075860848e-06	9.74232049409153e-07	0	1.00221322086274e-05	4.68248421395831e-05	0	0	2.86720675284534e-06	0	0	6.02061458433677e-06	3.94462379333958e-05	6.53131602752297e-06	0	1.29396404591502e-06	0	0	2.17640289570405e-05	0	0	1.39495889753608e-06	0	2.29553128923924e-06	0	0.00014182804531406	0.000441258236623251	0	0	4.06899937879943e-06	0	3.26882845188284e-06	4.00372185984091e-05	0	6.5089419844983e-06	0.000304491302896937	0	4.33160275489935e-05	5.19654487505197e-05	2.52609136619862e-06	1.62179037548502e-05	0.00250222474706842	2.25865019589447e-05	0	3.09247106993314e-06	0.0124242119479325	0	0.00687756311209731	0	0.000495066307285199	0	1.3539953016363e-06	0	1.1944206223887e-06	0.000270521062860632	3.22527584171636e-06	0	0.000127885558130717	1.71350533499886e-06	0	0.000342110064702663	0	5.31613269067196e-06	1.9710686542923e-06	0.000141737863695421	3.41984504992974e-05	0	0	1.22222493827764e-05	0	1.39723347771413e-05	0	4.51573635953115e-05	2.79259404060432e-06	1.9443450668077e-06	0.000306201441734394	0.000427766199688565	2.80848386806866e-06	4.27128344948851e-05	0.000119931239422731	0.00016605340126427	5.0748798522195e-06	0.000180120264915343	0	0.000198236930301134	0	0	0	0	7.35883305260748e-05	0.000146483074546568
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces radingae	0	0	4.87116024704576e-07	0	9.35399006138556e-05	0	3.74173077498728e-06	2.61734198452104e-06	4.73089114219482e-05	6.295002712097e-06	7.49246071140914e-06	0	0.000396040228851294	6.85788182889911e-05	0	1.29396404591502e-06	0	2.04401583703471e-05	1.08820144785203e-05	9.26828725758795e-07	0	0	8.30561276417831e-05	1.37731877354354e-05	0	3.54570113285151e-05	1.18299795341354e-06	0	0	0	0	0	0	0	1.04143071751973e-05	0	0	2.0626679785235e-06	3.84929250003849e-06	0	1.41906657854939e-05	0	0.000194591401492447	5.16463900787285e-05	1.23698842797326e-05	0	0	0.000669942803149118	0	0.00012639990824303	4.59552487787393e-06	0	0	0	7.55645426985005e-06	0	4.75689869232855e-06	0.0958592002441044	0	1.056970721911e-05	5.26323176465635e-06	0	3.54408846044797e-06	5.91320596287689e-06	0.000377967636521123	3.10895004539067e-06	1.78374852203694e-05	0	0	0	0	0	1.17801818074726e-05	0.000242955681532576	0	0	2.60833048590589e-06	0	0	9.51835233513738e-06	0.000320784979715067	0	0	0	2.89095523355821e-05	1.34101106870536e-05	1.8312402257553e-06	0	0	1.63529623391277e-05	9.32165019841798e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urinae	0	0	2.19202211117059e-05	3.24700626022807e-06	0.000123606297239738	0	0	0	0	0	0	0	0	3.26565801376148e-06	0	3.88189213774506e-06	3.1229554401103e-06	4.08803167406941e-06	0.000133304677361873	0	5.3092270827213e-06	0	0	0	0	0	3.54899386024062e-06	0	0	0	0	0	0	0	1.04143071751973e-05	1.12358414353113e-06	0	0.000191828122002686	0	0	0	0	0	0	6.18494213986628e-06	1.7959254044424e-06	0	9.03583742204977e-06	0	0	0	0	0	0	1.51129085397001e-06	0	0	9.19878576027964e-05	0	8.60676159270388e-05	0	0	0	0	2.62477525361891e-06	2.48716003631254e-05	0	0	0	1.61651953644686e-06	1.99604782530589e-06	0	0	0	1.9443450668077e-06	0	3.12999658308706e-05	3.65102902848926e-05	0	3.80734093405495e-06	0.0161298235682612	0	0	0	0.000202366866349075	0	0	0	0	5.72353681869471e-05	1.33166431405971e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces urogenitalis	1.53639095618828e-06	0	3.40981217293203e-06	6.49401252045614e-06	0	0.00274705740552221	0.00348729308228814	0	0.00685262413930037	4.19666847473133e-06	0	0	0	3.26565801376148e-06	0	0	9.36886632033091e-06	2.04401583703471e-06	0	0	0	0	0	0.0274086435935165	0	0	1.18299795341354e-06	0	0.00623763847232411	0	0	9.80648535564854e-06	0	5.57451924416952e-06	3.90536519069898e-06	0	0	2.8877351699329e-05	1.92464625001925e-06	1.26304568309931e-06	0	1.64187975529424e-05	0	0	3.09247106993314e-06	0	0	2.8398346183585e-05	0	1.17036952076879e-06	1.53184162595798e-06	0	0	3.58326186716609e-06	3.02258170794002e-06	0	0	0.000384778477533648	0	0	0	2.74632473092883e-06	1.77204423022399e-06	0	5.24955050723782e-06	6.21790009078134e-06	0	0	1.22222493827764e-05	0	5.98814347591768e-06	9.11178335823887e-06	9.8168181728938e-06	0	0	2.15634818122813e-06	7.82499145771766e-06	1.40424193403433e-06	1.77970143728688e-06	0	3.77394093782432e-06	5.0748798522195e-06	0	0	0.000177587250061433	5.36404427482144e-06	5.49372067726589e-06	8.92270262714108e-06	5.74954961861321e-06	5.72353681869471e-05	3.99499294217914e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;NA;NA	0	0.000427104541028592	0.000155877127905464	0	4.00885288345095e-05	0.000171691087845138	0.000374173077498728	0	0.000319693552942256	0	5.49447118836671e-05	4.665976302861e-05	0.000301369257811144	5.22505282201837e-05	0.00031293342244853	0	0	0.000118552918548013	0.000133304677361873	9.26828725758795e-07	0	0	0	0	0	5.90950188808585e-05	2.36599590682708e-06	0.000195802907097279	0.000571067757421559	2.5770329399063e-05	0.00146155338550087	0	0	0.000317747596917662	1.30178839689966e-06	1.12358414353113e-06	0	0	0.000144348468751443	0	0.000182451417242064	0	0.000286674832555836	0.000541211129366675	0.00106071757698707	3.5918508088848e-06	0.000304229358513383	2.45258444312779e-05	0.000150825999494824	0	0	0.000222055229468354	0.000352681436965247	5.37489280074914e-05	0.000265987190298722	0.000175777533373542	1.58563289744285e-06	0	0	0	0.000166669005880784	0	0.000299475474907854	1.9710686542923e-06	2.62477525361891e-06	0.000544066257943367	0.000282851551351572	0.000345268712014909	0.00143815134404002	0.000129321562915749	0.000203596878181201	0.000938513685898604	0.000219896727072821	0.000659052193582619	9.72172533403848e-05	0.00029973239719071	0.000221708091302	0.000116552080524849	0.000238479992596442	0.000154197307829226	4.52872912538919e-05	0.0020299519408878	0.000205521840736738	0.000302754531968207	0.000200301898325104	0.000638321268703752	0.000128186815802871	0.000547259094464653	0.000136072674307179	0.00010629425520433	0.000106533145124777
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;NA	4.60917286856483e-06	0.0196667256793839	0.002085830817785	0.000204561394394368	0.000883617989727314	0.0112691786749263	0.0125441524231449	2.09387358761683e-05	0.0114587917877464	4.19666847473133e-06	0.00200922821410955	0.000492185242269531	0.0196568492869698	0.00243618087826607	0.0192492688561704	2.58792809183004e-06	7.49509305626473e-05	0.0105573417982843	0.0115158918218941	2.31707181439699e-05	1.59276812481639e-05	5.57983559014434e-06	7.17942798259481e-05	3.21374380493493e-05	1.18706338324935e-06	0.00326499979316743	6.86138812979854e-05	0.0191162871819848	0.0279289275997511	0.00305581853347837	0.0365647028390351	3.59571129707113e-05	3.20297748787273e-06	0.00201983413947076	3.38464983193912e-05	2.35952670141538e-05	6.09341819433739e-06	0.000257833497315438	0.00818552050133185	7.57827409859587e-06	0.0134486966887095	2.95538355952963e-05	0.0201853830583861	0.0344997885725906	0.0279744932986152	6.82451653688112e-05	0.00887018723415583	0.0016316140716387	0.013892346579975	1.52148037699943e-05	7.65920812978988e-06	0.0149156122428255	0.024172785689598	0.000697541643475	0.014562798668855	0.00618124115064941	0.000267971959667842	0.000125641951847722	1.54215480149897e-05	1.20796653932686e-05	0.0162458420469059	5.49264946185767e-06	0.011700808052169	0.00026609426832946	0.000139113088441802	0.0143198239090694	0.00957108492681535	0.0212959970962016	0.0360474875129352	0.00979287535179506	0.0096169584223238	0.0201962678135365	0.0113286081715194	0.0400011170376162	0.0057338736020159	0.0171645315225759	0.0115731623659644	0.0071335490248944	0.0161935033778733	0.00867312264777718	0.000434003207849797	0.0467751675979071	0.0105739832441969	0.0210396590627788	0.0127635673561595	0.0407238241344444	0.00495716729111958	0.024921108437605	0.00633983671279083	0.00853624634102468	0.00644525528004901
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	7.68195478094138e-06	0.0103368150836505	0.00114618400612987	5.19521001636491e-05	0.00246878523405855	0.000185565115145755	0.0210285269554285	2.61734198452104e-06	0.0167932299514152	8.39333694946267e-06	0.00178195690586347	0.000317587419323765	0.0027123233203003	0.0021618656051101	0.177286442256057	1.29396404591502e-05	0.000265451212409376	0.000112420871036909	0.00111812698766796	9.26828725758795e-06	7.0789694436284e-06	2.78991779507217e-06	1.40773097697938e-05	2.29553128923924e-06	1.42447605989922e-05	0.000559432845405461	0.000172717701198377	0.00425336567097872	0.030491768267204	0.000275335624632095	0.0877535622669167	9.80648535564854e-06	4.32401960862818e-05	0.000453394231859121	1.69232491596956e-05	1.23594255788425e-05	6.70276001377112e-05	0.000218642805723491	0.000575469228755755	0	0.0019562846404288	5.25401521694157e-05	0.0028875974042897	0.00434260063245308	0.0743182647526332	0.00012751070371541	0.609000625571618	0.000396286012652754	0.00283298473749916	0.000127570277763798	9.19104975574785e-06	0.00222732227119172	0.00441909840517454	0.000413269535346489	0.00891208216586115	0.420848505568439	1.10994302820999e-05	3.0288684820433e-05	1.71350533499886e-06	1.66095399157443e-05	0.000191230754115847	2.74632473092883e-06	0.000880705982421321	5.12477850115997e-05	0.000139113088441802	0.0602452339795804	0.135513923431321	0.00266033969129436	0.0919887229379028	0.00172320982585235	0.00123954569951496	0.0642654080256588	0.000730371272063299	0.00467200982993102	0.00112772013874846	0.0100809277472415	0.00146849006356501	0.00190976903028669	0.00186334740483936	0.000605367208514737	3.77394093782432e-06	0.123182558652924	0.00267409316374318	0.00907729323201148	8.46636889827761e-05	0.00464258031985796	0.00125256831441662	0.0208136909949111	0.000477212618344896	0.00817648116956387	0.00374197672250779
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum	1.53639095618828e-06	0.00266442418341152	1.36392486917281e-05	3.24700626022807e-06	0.000551217271474506	5.54961092024689e-05	0.00409906606399856	0	0.00314532580787134	0	0.000287210993937351	4.51546093825258e-06	0.000769990564459886	0.000369019355555048	0.00337272688638971	1.29396404591502e-06	9.36886632033091e-06	0.0013367863574207	0.000144186691840393	9.26828725758795e-07	3.5394847218142e-06	0	2.81546195395875e-06	4.59106257847848e-06	0	0.000324037686863374	2.95749488353385e-05	4.77166748388328e-05	0.00542514369550481	3.39083281566619e-05	0.0207204294121451	3.26882845188284e-06	1.60148874393636e-06	7.43269232555936e-06	1.30178839689966e-06	1.12358414353113e-06	4.57006364575304e-06	1.85640118067115e-05	0.000150122407501501	0	0.000192587607088846	3.28375951058848e-06	0.000679332481995952	0.000770391985341033	0.0182332094283258	2.33470302577512e-05	0.00699727524580781	0.000144573398752796	0.000975826044924342	3.51110856230638e-06	0	0.000422446534110527	0.000218662490918453	4.77768248955479e-06	0.00200246038151026	0.00474921867692734	0	4.48721256599007e-06	3.42701066999772e-06	3.01991634831715e-06	4.73690858819071e-05	2.74632473092883e-06	4.78451942160476e-05	1.9710686542923e-05	2.62477525361891e-06	0.00611219578923806	0.00246157296041098	0.000484704153405545	0.0224278276173947	0.000236011852321241	0.000343320225952614	0.0139273608630681	6.08642726719416e-05	0.000809852271775252	0.000559971379240617	0.00227063463483322	7.56415840912707e-05	4.35314999550643e-05	0.000432467449260712	4.18807502746045e-05	0	0.029987465046765	0.000277108099869759	0.00299192713945052	7.64038168868955e-05	0.000850201017559199	0.00436567669820062	0.00801853542759078	0.000164820422400245	0.000768589229939003	0.000759048659014036
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	0	2.2129768965212e-06	0.000129085746546713	0	0	3.46850682515431e-06	2.99338461998982e-05	2.61734198452104e-06	8.60162025853603e-06	1.04916711868283e-06	3.74623035570457e-06	0	6.31139806934333e-06	1.95939480825689e-05	1.54535023431373e-05	1.16456764132352e-05	1.87377326406618e-05	0	0	9.26828725758795e-07	3.18553624963278e-05	0	0	0	0	2.95475094404293e-06	0	0	0.000160177541715803	0	0.000125029640647567	0	0	3.71634616277968e-06	1.17160955720969e-05	2.24716828706227e-06	0	0.0010272086533047	0	0	6.08171390806881e-06	0	8.68711613805565e-06	1.93673962795232e-05	5.87569503287297e-05	7.1837016177696e-06	4.94372707584248e-05	1.41991730917925e-05	0	1.17036952076879e-06	0	0	0	1.1944206223887e-06	1.51129085397001e-06	2.58022067337309e-05	0	0	0	0	0	5.49264946185767e-06	1.77204423022399e-06	7.88427461716919e-06	0	0.000192754902814222	1.01928486973539e-05	1.10663048722727e-05	0.000101852078189803	1.61651953644686e-05	5.98814347591768e-06	5.01148084703138e-05	0	3.07185344466475e-05	1.55547605344616e-05	4.31269636245625e-06	0.000253008057132871	0.000214849015907253	3.55940287457376e-06	5.71101140108243e-06	0.0792791772808756	8.62729574877315e-05	0	1.06854540694661e-05	0	1.34101106870536e-05	0	2.08196394633292e-05	0	0.000188059066899969	0.000106533145124777
