#OTU ID	magic.0040.S71.R1.001	magic.0112.S49.R1.001	magic.0134.S97.R1.001	magic.0317.S53.R1.001	magic.0020.S23.R1.001	magic.0402.S78.R1.001	magic.0232.S75.R1.001	magic.0315.S29.R1.001	magic.0435.S43.R1.001	magic.0018.S106.R1.001	magic.0124.S61.R1.001	magic.0150.S50.R1.001	magic.0532.S92.R1.001	magic.0030.S59.R1.001	magic.0079.S84.R1.001	magic.0013.S58.R1.001	magic.0132.S85.R1.001	magic.0316.S41.R1.001	magic.0374.S54.R1.001	magic.0001.S22.R1.001	magic.0243.S99.R1.001	magic.0173.S98.R1.001	magic.0542.S57.R1.001	magic.0146.S109.R1.001	magic.0100.S96.R1.001	magic.0537.S104.R1.001	magic.0156.S62.R1.001	magic.0244.S111.R1.001	magic.0456.S79.R1.001	magic.0339.S30.R1.001	magic.0053.S24.R1.001	magic.0367.S42.R1.001	magic.0016.S82.R1.001	magic.0164.S74.R1.001	magic.0231.S63.R1.001	magic.0551.S105.R1.001	magic.0048.S83.R1.001	magic.0331.S77.R1.001	magic.0440.S55.R1.001	magic.0004.S34.R1.001	magic.0531.S80.R1.001	magic.0179.S110.R1.001	magic.0526.S56.R1.001	magic.0539.S33.R1.001	magic.0075.S60.R1.001	magic.0149.S38.R1.001	magic.0242.S87.R1.001	magic.0514.S44.R1.001	magic.0246.S28.R1.001	magic.0017.S94.R1.001	magic.0078.S72.R1.001	magic.0011.S46.R1.001	magic.0109.S25.R1.001	magic.0131.S73.R1.001	magic.0552.S117.R1.001	magic.0465.S91.R1.001	magic.0015.S70.R1.001	magic.0527.S68.R1.001	magic.0021.S35.R1.001	magic.0063.S48.R1.001	magic.0396.S66.R1.001	magic.0337.S113.R1.001	magic.0471.S103.R1.001	magic.0428.S102.R1.001	magic.0547.S81.R1.001	magic.0287.S76.R1.001	magic.0272.S52.R1.001	magic.0148.S26.R1.001	magic.0110.S37.R1.001	magic.0050.S95.R1.001	magic.0307.S112.R1.001	magic.0170.S86.R1.001	magic.0268.S40.R1.001	magic.0417.S90.R1.001	magic.0300.S100.R1.001	magic.0538.S116.R1.001	magic.0334.S89.R1.001	magic.0290.S88.R1.001	magic.0541.S45.R1.001	magic.0278.S64.R1.001	magic.0335.S101.R1.001	magic.0059.S36.R1.001	magic.0549.S93.R1.001	magic.0217.S51.R1.001	magic.0543.S69.R1.001	magic.0322.S65.R1.001	magic.0433.S31.R1.001	magic.0429.S114.R1.001	magic.0473.S115.R1.001	magic.0189.S39.R1.001	magic.0028.S47.R1.001	magic.0101.S108.R1.001	magic.0185.S27.R1.001	magic.0484.S32.R1.001	Postive.Control.S107.R1.001	Blank.S67.R1.001
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis;t__Enterococcus faecalis V583	504600	1303	7152	53673	193641	442	20	14	84	35391	8	5169	3099	13498	12	236410	32457	11012	3009	101764	5	40	2068	52116	2	6246	94	10	8364	846	248	55504	26447	19	36740	1799	5876	9523	51	86269	170	2421	6252	21934	3	280	9	10940	755	30	14968	2976	274	730	5529	13	106660	43993	12	39	41022	84674	662	8313	51	62	7	5	20	3409	8	42	16	71	1591	90	63	143	8	11	7675	63	5	6	1136	39	10	143	307	937	714	2	5	2	5	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum;t__Bifidobacterium longum NCC2705	82	339981	582	610	3872	262858	127518	157	175498	223	55307	191	225343	21220	95928	237	466	14394	27625	657	103	91	856	102	52	25526	730	14119	165953	8953	87787	116	64	164	571	374	115	2597	49621	65	150636	136	224062	639374	65706	527	809	18381	120934	132	65	368505	488856	230	245480	1179	316	1778	59	184	21961	68	236391	5329	877	58972	127246	189975	74264	167819	171595	8321	178964	284891	1116	104279	137874	191036	23309	123708	80	70762	84457	40204	35854	301278	1303	32072	689	10921	11262	71	83	76	53	29
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve;t__Bifidobacterium breve DSM 20213 = JCM 1192	41	6218	1342	1043	571	7140	5793	102	7635	119	1502	323	64096	1526	198037	79	576	174943	115790	108	22	87	650	198	38	4347	188	432533	179759	66800	8627	107	31	77	152	126	57	1001	2505	50	45910	307	50897	95279	9476	261	919	13904	118909	253	29	33543	10377	436	60333	815	6239	689	49	53	323220	42	5030	204	428	3055	2903	25893	9234	67262	4628	3969	4038	38560	3804	88394	3748	5390	334591	2751	31	9446	42278	344910	166875	40835	3062	234723	1029	23675	2665	57	10	22	67	23
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum;t__Bifidobacterium bifidum PRL2010	3	481	1188	538	180	288	743	209	991	70	172	108	48776	862	2735	68	628	399	1122	46	93	150	475	136	106	353421	346	1055	2690	647	1827	54	34	81	270	823	35	1303	418616	29	884	99	24263	6062	1655	264	860	14473	190079	88	4	2470	395	45	1214	1245	42	539	31	37	691	86	205056	217	879	1890	578	1695	1703	1571	231	447	291559	2378	362455	230256	211323	644	848	304638	102	1697	176607	1167	206121	2358	403371	1390	483423	8328	5173	62	24	50	67	22
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis;t__Bifidobacterium adolescentis ATCC 15703	5	4671	2353	16	1478	107	11240	1	11714	8	1427	211	1719	662	91778	10	170	55	411	10	4	2	10	1	12	568	146	2585	13135	203	20354	3	27	244	13	11	44	106	299	0	965	16	1662	4036	24032	71	320285	307	1559	109	6	1645	2506	346	5897	260969	7	27	1	11	109	1	497	26	53	19378	53180	1202	22579	1066	621	14106	372	1673	580	4675	563	1360	1047	318	1	24273	1158	5097	41	1731	684	6998	249	1000	281	0	3	0	0	1
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	3	8887	4282	63	529	6498	6705	8	7993	4	1609	327	12458	746	9965	2	48	5165	4233	25	9	4	51	14	1	3315	58	11618	12031	2253	8481	11	2	1087	26	21	4	125	4253	6	6634	9	11618	32064	9046	38	4665	1264	7645	13	5	11016	13708	584	9636	3833	169	112	9	8	9260	2	6603	135	53	4606	3756	9622	8848	6058	4818	4433	5770	14324	2949	7960	4437	5080	9099	4556	115	9217	4579	11814	6181	15184	2707	8379	3308	1044	484	1	4	6	3	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella pyogenes	0	267	14	1	11	0	0	0	0	0	0	0	0	1	0	0	0	0	23	0	0	37	0	0	0	25	1054	0	149	0	0	1	0	0	16	6	0	1	17	0	35	55	1	3	1	494	2	49	0	0	0	0	0	0	50	2	0	5	0	1	5	35	1	0	0	1038	4	0	0	0	2	0	0	102	0	3	2	95	192	1	1	0	23	0	3	0	0	0	247	1	8	0	0	0	0	0
k__Bacteria;p__;c__;o__;f__;g__;s__bacterium LF-3	0	8	0	0	1	0	0	0	18	2	1	9	3	0	13	0	0	117	35	0	0	0	14	0	0	18	0	54	0	16	0	0	0	3	5	345	0	258	2	0	142	0	2	2	0	0	0	4	5	458	0	0	0	49	85	0	92	146	0	0	36	0	35	10	1	70	0	0	0	0	1	0	4	0	27	0	5	2	9	11	0	1	4	2	4	3	0	8	0	8	0	0	0	0	0	0
k__Bacteria	3736	156	1557	520	1709	268	605	185	642	2096	438	640	187	237	593	2164	1337	742	650	1934	357	795	258	1246	653	435	215	596	454	391	23	702	1264	158	1358	1075	1360	395	34	1745	494	931	245	406	83	47	77	624	229	6103	1388	150	18	1062	859	465	1590	2086	410	605	1336	1007	955	1077	970	158	28	91	32	268	503	194	696	20	196	115	393	459	239	787	1590	100	391	506	177	20	13	631	116	121	82	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii;t__Natrialba magadii ATCC 43099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
