#OTU ID	magic.0040.S71.R1.001	magic.0112.S49.R1.001	magic.0134.S97.R1.001	magic.0317.S53.R1.001	magic.0020.S23.R1.001	magic.0402.S78.R1.001	magic.0232.S75.R1.001	magic.0315.S29.R1.001	magic.0435.S43.R1.001	magic.0018.S106.R1.001	magic.0124.S61.R1.001	magic.0150.S50.R1.001	magic.0532.S92.R1.001	magic.0030.S59.R1.001	magic.0079.S84.R1.001	magic.0013.S58.R1.001	magic.0132.S85.R1.001	magic.0316.S41.R1.001	magic.0374.S54.R1.001	magic.0001.S22.R1.001	magic.0243.S99.R1.001	magic.0173.S98.R1.001	magic.0542.S57.R1.001	magic.0146.S109.R1.001	magic.0100.S96.R1.001	magic.0537.S104.R1.001	magic.0156.S62.R1.001	magic.0244.S111.R1.001	magic.0456.S79.R1.001	magic.0339.S30.R1.001	magic.0053.S24.R1.001	magic.0367.S42.R1.001	magic.0016.S82.R1.001	magic.0164.S74.R1.001	magic.0231.S63.R1.001	magic.0551.S105.R1.001	magic.0048.S83.R1.001	magic.0331.S77.R1.001	magic.0440.S55.R1.001	magic.0004.S34.R1.001	magic.0531.S80.R1.001	magic.0179.S110.R1.001	magic.0526.S56.R1.001	magic.0539.S33.R1.001	magic.0075.S60.R1.001	magic.0149.S38.R1.001	magic.0242.S87.R1.001	magic.0514.S44.R1.001	magic.0246.S28.R1.001	magic.0017.S94.R1.001	magic.0078.S72.R1.001	magic.0011.S46.R1.001	magic.0109.S25.R1.001	magic.0131.S73.R1.001	magic.0552.S117.R1.001	magic.0465.S91.R1.001	magic.0015.S70.R1.001	magic.0527.S68.R1.001	magic.0021.S35.R1.001	magic.0063.S48.R1.001	magic.0396.S66.R1.001	magic.0337.S113.R1.001	magic.0471.S103.R1.001	magic.0428.S102.R1.001	magic.0547.S81.R1.001	magic.0287.S76.R1.001	magic.0272.S52.R1.001	magic.0148.S26.R1.001	magic.0110.S37.R1.001	magic.0050.S95.R1.001	magic.0307.S112.R1.001	magic.0170.S86.R1.001	magic.0268.S40.R1.001	magic.0417.S90.R1.001	magic.0300.S100.R1.001	magic.0538.S116.R1.001	magic.0334.S89.R1.001	magic.0290.S88.R1.001	magic.0541.S45.R1.001	magic.0278.S64.R1.001	magic.0335.S101.R1.001	magic.0059.S36.R1.001	magic.0549.S93.R1.001	magic.0217.S51.R1.001	magic.0543.S69.R1.001	magic.0322.S65.R1.001	magic.0433.S31.R1.001	magic.0429.S114.R1.001	magic.0473.S115.R1.001	magic.0189.S39.R1.001	magic.0028.S47.R1.001	magic.0101.S108.R1.001	magic.0185.S27.R1.001	magic.0484.S32.R1.001	Postive.Control.S107.R1.001	Blank.S67.R1.001
NC_004668.1_Enterococcus_faecalis_V583_chromosome-_complete_genome	511035	1326	7322	53943	194415	448	23	14	98	35324	9	5258	3159	13535	15	239181	32280	11221	3047	102423	9	44	2158	52962	4	6411	109	11	8488	862	256	56545	26649	20	36946	1820	5839	9318	53	86757	195	2451	6332	21944	3	283	16	11093	746	206	14996	2932	284	754	5624	19	107388	44106	11	56	41618	86157	706	8297	53	80	7	5	23	3354	8	75	17	69	1679	93	63	235	11	19	7932	64	74	7	1147	40	10	146	312	953	711	2	5	2	5	2
NC_004307.2_Bifidobacterium_longum_NCC2705_chromosome-_complete_genome	85	347964	1685	657	4093	269233	131980	163	181248	227	56609	279	236189	21802	103152	237	506	19093	31258	678	110	95	899	114	53	26979	761	24107	174647	10907	91522	127	66	400	593	395	117	2701	51927	69	156858	143	234276	667619	69076	554	2115	19429	127187	150	68	379264	502420	378	254095	2217	464	1872	68	191	30164	70	242110	5446	923	61366	130439	198493	77899	173572	176328	9740	183486	297626	2078	110072	141495	196064	31215	126994	96	74391	87896	49775	40899	314659	2232	38462	1887	11784	11656	72	85	81	55	31
NC_002695.1_Escherichia_coli_O157-H7_str._Sakai-_complete_genome	6	1736	6116	600	143	695	286	0	227	10834	3979	8282	11	1157	909	10	15683	58	70	12662	649	8238	4	53	8574	1059	436	2656	13	41	14	1	10618	35	7025	7670	8016	16	3	11640	301	124	6	618	50	296	1	59	9	554	7908	49	34	8262	96	32	7715	2107	3423	1578	69	0	300	1456	71	9	1	335	29	10	121	94	67	14	851	38	283	7	101	680	7	16	197	6	318	0	13	585	3	136	209	0	1	1	0	0
NC_000913.3_Escherichia_coli_str._K-12_substr._MG1655-_complete_genome	7	1615	7560	902	499	619	983	1	775	7936	3953	8220	23	1445	774	10	16511	30	353	32572	603	7321	884	757	8369	1651	281	2298	244	131	28	8	27698	59	5377	5944	5792	16	15	29743	1325	197	27	617	169	220	2	105	21	1049	5843	53	43	8699	215	70	5732	1644	14762	6892	490	6	688	3819	449	29	0	333	37	7	104	343	125	8	883	109	695	6	215	1375	11	63	167	39	252	2	170	438	1	123	472	0	0	1	0	0
NC_000907.1_Haemophilus_influenzae_Rd_KW20_chromosome-_complete_genome	1907	0	236	174	3	2	101	0	24	1	0	16	2	4	3	7	7	0	0	0	14	0	219	297	0	0	0	26	7	0	154	2	0	29	7	13	1	301	3	0	9	0	0	1	15	0	11	3	1	172	0	0	17	291	0	20	0	27	0	0	56	72	0	19	0	115	2	0	210	88	1	34	3	0	1	39	1	698	23	3	4	8	22	64	1	0	0	65	0	2	2	0	0	0	0	0
NC_002128.1_Escherichia_coli_O157-H7_str._Sakai_plasmid_pO157-_complete_sequence	0	0	1798	1	0	10	427	0	380	1103	43	465	0	24	0	1	0	28	0	1917	13	77	0	0	1140	2	0	39	0	0	0	0	2066	1	700	72	787	0	0	1564	0	0	0	10	0	4	0	8	7	505	815	4	0	426	20	5	508	262	3	0	1	0	51	5	1	0	0	5	0	1	1	143	3	2	10	8	18	0	102	84	0	2	1	1	28	0	0	13	0	6	6	0	0	0	0	0
NC_002662.1_Lactococcus_lactis_subsp._lactis_Il1403_chromosome-_complete_genome	19	0	2	27	21	0	0	0	0	4	0	0	0	4	2	10	1	0	0	0	0	0	14	0	0	0	6	0	1	0	0	23	0	31	11	1	1	1	0	0	18	5	0	1	1	0	0	5	0	3	3	1	0	0	221	1	0	24	0	2	3	7	0	0	1	2	0	0	1	1	0	0	0	0	2	0	10	16	1	0	3	0	1501	1	0	0	0	0	0	0	3	0	0	0	0	0
NC_002505.1_Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_chromosome_I-_complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_003198.1_Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18-_complete_genome	0	2	21	205	29	3	1	0	1	68	259	27	21	80	11	0	141	3	8	593	214	1999	119	281	61	11	338	11	47	2	0	0	487	16	33	1444	42	16	7	574	7	1202	46	4	0	72	10	10	1	16	49	0	7	27	11	33	319	8	27	8	53	1	0	186	266	24	0	39	0	0	0	0	2	1	1	1	2	1	4	13	208	0	2	4	13	0	172	80	3	1	2	0	0	0	0	0
NC_003197.2_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2-_complete_genome	0	5	32	104	1	0	0	0	0	14	5	26	22	3	0	0	60	2	30	58	143	9	72	66	47	1	353	18	20	2	0	2	65	10	14	3	9	5	8	59	2	390	29	0	0	213	6	5	30	1	11	1	15	35	0	24	3	3	0	2	15	2	1	110	176	29	0	0	0	2	0	0	0	0	1	1	2	2	0	1	41	0	1	4	2	0	59	3	1	1	1	0	0	0	0	0
NC_003098.1_Streptococcus_pneumoniae_R6_chromosome-_complete_genome	196	16	703	138	823	27	65	1	273	157	7	54	6	54	89	656	686	9	0	0	50	12	87	210	782	15	8	73	69	2	8	74	11	22	41	39	16	363	101	39	38	44	2	276	1	4	6	21	4	380	1	7	112	55	24	92	16	72	4	4	31	193	10	336	80	215	17	3	25	66	5	23	17	120	183	100	16	1519	18	3	24	2	44	34	21	21	35	5	9	14	4	0	0	0	0	0
NC_002940.2_Haemophilus_ducreyi_strain_35000HP_complete_genome	54	0	6	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	15	0	2	0	3	0	0	1	1	0	0	0	1	1	0	4	4	0	2	0	0	0	1	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_002737.2_Streptococcus_pyogenes_M1_GAS-_complete_genome	3	0	23	0	0	0	0	0	0	0	0	0	0	5	0	0	11	1	0	0	0	0	27	1	0	2	1	0	5	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	7	0	0	3	0	0	0	0	0	2	0	0	0	1	0	12	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_003030.1_Clostridium_acetobutylicum_ATCC_824_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_002967.9_Treponema_denticola_ATCC_35405_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_002946.2_Neisseria_gonorrhoeae_FA_1090_chromosome-_complete_genome	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_002947.4_Pseudomonas_putida_KT2440_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_003062.2_Agrobacterium_fabrum_str._C58_chromosome_circular-_complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_003143.1_Yersinia_pestis_CO92_chromosome-_complete_genome	28	0	51	4	2	2	6	0	5	1760	31	1	0	11	1	0	4	0	0	6	5	329	1	3	4	10	2	0	0	0	7	127	6	3	904	295	1472	47	18	7	1	10	0	6	1	0	1	16	29	61	1268	0	1	3	0	1	1441	322	0	0	2	113	0	3	2	0	0	0	6	3	0	3	0	3	3	1	1	4	6	3	0	2	2	1	45	0	2	210	1	0	2	0	0	0	0	0
NC_003112.2_Neisseria_meningitidis_MC58_chromosome-_complete_genome	11	0	5	0	0	0	0	0	1	0	0	0	0	2	0	30	6	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_003131.1_Yersinia_pestis_CO92_plasmid_pCD1-_complete_sequence	0	0	12	0	3	1	0	0	0	26	3	75	0	0	0	0	39	4	0	0	1	5	6	0	0	1	4	0	0	0	0	1	0	0	3	9	14	1	2	0	3	33	0	0	0	0	0	1	0	0	8	0	0	92	2	0	52	5	4	2	4	3	0	0	17	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
NC_003155.5_Streptomyces_avermitilis_MA-4680_=_NBRC_14893_DNA-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
NC_004116.1_Streptococcus_agalactiae_2603V-R_chromosome-_complete_genome	8	5	400	60	25	3	11	0	69	13	0	32	10	4	12	99	266	346	125	533	2	5	984	291	18	399	198	3	46	201	2	283	167	17	2	24	3	6617	3	435	305	293	9	112	3	18	53	59	6	1973	0	26	4	26	240	102	633	7	0	34	279	21	6	28	3	58	0	1	0	46	0	3	2	3	151	1	4	58	75	1	53	1	7	3	8	2	0	1	15	17	9	0	0	0	0	0
NC_003384.1_Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18_plasmid_pHCM1-_complete_sequence	0	0	0	0	5	0	0	0	0	0	0	213	0	3	0	0	90	0	7	0	1	0	0	3	0	0	910	0	10	1	0	0	0	2	0	0	0	0	0	0	17	14	1	0	7	630	0	1	1	0	0	1	44	177	3	27	1	0	154	86	169	0	0	83	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	9	1	0	0	0	0	0	0	3	2	5	0	0	0	0	0
NC_003277.2_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2_plasmid_pSLT-_complete_sequence	0	0	13	0	9	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	5	8	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_003296.1_Ralstonia_solanacearum_GMI1000_megaplasmid_complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_003295.1_Ralstonia_solanacearum_GMI1000_chromosome_complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
NC_003454.1_Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_003902.1_Xanthomonas_campestris_pv._campestris_str._ATCC_33913_chromosome-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_004461.1_Staphylococcus_epidermidis_ATCC_12228_chromosome-_complete_genome	62942	1957	144673	8934	931	39	92	8	37	15012	4	836	2	3753	397	56198	94013	14	1	332	25	4891	602	7390	371	1	1073	65	6050	2	5719	2646	8249	2780	79	73	1600	4044	9	11125	2	784	4	46	35	679	506	48570	2	9681	9	15	3115	265	3	44	5717	30	45	6	2	6674	3	26	9851	85	115	99	130	1833	24	8364	4	11	139	0	27	24861	4	29	3	3048	0	287	10	37	34	4	46	33934	237	0	0	0	1	0
NC_004337.2_Shigella_flexneri_2a_str._301_chromosome-_complete_genome	5	633	3174	130	87	335	138	0	104	4141	2059	5195	1	609	301	8	7551	12	42	13916	365	5085	29	91	4490	534	713	993	255	26	10	5	11568	19	2739	3950	3008	19	2	12686	247	158	4	296	29	613	2	34	2	299	3108	34	59	7918	85	7	3231	798	2298	1125	82	1	293	1278	237	2	0	167	16	2	49	54	38	8	439	13	235	1	58	543	7	20	83	16	128	0	18	277	1	54	118	0	1	2	0	0
NC_004350.2_Streptococcus_mutans_UA159_chromosome-_complete_genome	113	0	16	0	8	0	6	0	0	0	0	0	0	1	1	8	11	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	1	1	0	2	10	0	1	0	8	0	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	19	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NC_004344.2_Wigglesworthia_glossinidia_endosymbiont_of_Glossina_brevipalpis_DNA-_complete_genome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
